GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Revapi API,org.revapi.query,DFSFilteringIterator,152,0,38,0,42,0,23,0,4,0
Revapi API,org.revapi.query,FilteringIterator,79,0,16,0,24,0,12,0,4,0
Revapi API,org.revapi,AnalysisContext,7,30,1,1,2,9,3,4,2,4
Revapi API,org.revapi,Stats.Collector,111,3,2,0,17,2,8,1,7,1
Revapi API,org.revapi,Stats.DummyCollector,1,16,0,0,1,7,1,7,1,7
Revapi API,org.revapi,DifferenceSeverity,58,0,0,0,5,0,4,0,4,0
Revapi API,org.revapi,Revapi,216,549,32,40,37,139,30,19,2,11
Revapi API,org.revapi,Revapi.CompoundFilter,167,57,22,4,40,14,17,4,4,4
Revapi API,org.revapi,API.Builder,64,41,3,1,15,9,9,5,7,5
Revapi API,org.revapi,NaturalOrderComparator,0,8,0,0,0,2,0,2,0,2
Revapi API,org.revapi,Difference.BuilderBase,25,41,0,0,6,12,3,6,3,6
Revapi API,org.revapi,CoIterator,0,153,0,28,0,37,0,21,0,7
Revapi API,org.revapi,Stats,63,36,6,2,11,9,7,3,3,3
Revapi API,org.revapi,AnalysisContext.Builder,127,28,13,0,34,7,15,4,8,4
Revapi API,org.revapi,Revapi.Builder,116,156,13,15,24,33,23,11,12,8
Revapi API,org.revapi,CompatibilityType,58,0,0,0,5,0,4,0,4,0
Revapi API,org.revapi,AnalysisContext.new Object() {...},19,0,0,0,1,0,1,0,1,0
Revapi API,org.revapi,Report,130,43,26,2,20,12,16,6,3,5
Revapi API,org.revapi,Element,5,0,0,0,1,0,1,0,1,0
Revapi API,org.revapi,Report.Builder,0,33,0,0,0,8,0,5,0,5
Revapi API,org.revapi,Difference,75,67,6,6,14,14,9,3,3,3
Revapi API,org.revapi,Difference.InReportBuilder,0,30,0,0,0,6,0,2,0,2
Revapi API,org.revapi,Difference.Builder,0,18,0,0,0,3,0,2,0,2
Revapi API,org.revapi,CorrespondenceComparatorDeducer,0,12,0,0,0,5,0,2,0,2
Revapi API,org.revapi,Stats.Tuple2,26,0,0,0,5,0,2,0,2,0
Revapi API,org.revapi,API,71,17,6,0,18,6,8,3,5,3
Revapi API,org.revapi.simple,FileArchive,16,0,0,0,5,0,3,0,3,0
Revapi API,org.revapi.simple,SimpleElement.EmptyIterator,13,0,0,0,4,0,4,0,4,0
Revapi API,org.revapi.simple,SimpleElement,103,22,19,1,21,5,17,3,7,3
Revapi API,org.revapi.simple,SimpleConfigurable,9,0,0,0,5,0,5,0,5,0
Revapi API,org.revapi.simple,SimpleElementFilter,7,0,0,0,3,0,3,0,3,0
Revapi API,org.revapi.simple,SimpleReporter,4,0,0,0,2,0,2,0,2,0
Revapi API,org.revapi.simple,SimpleDifferenceTransform,8,0,0,0,3,0,3,0,3,0
Revapi API,org.revapi.simple,SimpleElement.ParentPreservingSet,191,13,26,0,47,4,31,2,18,2
Revapi API,org.revapi.simple,SimpleElementForest,123,17,20,2,24,6,15,3,5,2
Revapi API,org.revapi.simple,SimpleElement.ParentPreservingSet.ParentPreservingIterator,33,0,2,0,10,0,5,0,4,0
Revapi API,org.revapi.configuration,JSONUtil,229,159,29,23,48,38,23,10,4,3
Revapi API,org.revapi.configuration,JSONUtil.new Reader() {...},2,136,2,27,1,48,2,19,0,4
Revapi API,org.revapi.configuration,JSONUtil.new Object() {...},5,35,0,0,0,1,0,1,0,1
Revapi API,org.revapi.configuration,JSONUtil.State,5,63,0,0,0,2,1,3,1,3
Revapi API,org.revapi.configuration,ConfigurationValidator,159,360,34,26,13,69,25,11,0,6
Revapi API,org.revapi.configuration,ValidationResult.Error,59,49,10,0,14,11,7,2,2,2
Revapi API,org.revapi.configuration,ValidationResult,121,146,30,12,23,29,20,9,2,6
Revapi API,org.revapi.configuration,ReaderInputStream,260,0,36,0,62,0,30,0,12,0
Revapi API,org.revapi.configuration,ConfigurationException,23,0,0,0,10,0,5,0,5,0
Revapi API,org.revapi.configuration,ConfigurationValidator.PartialValidationResult,0,9,0,0,0,4,0,1,0,1
