GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Revapi Maven Plugin,org.revapi.maven,Props.useBuildConfiguration,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,MavenArchive.Empty,10,0,0,0,3,0,2,0,2,0
Revapi Maven Plugin,org.revapi.maven,AbstractVersionModifyingMojo,339,674,51,57,30,152,42,25,3,9
Revapi Maven Plugin,org.revapi.maven,MavenArchive,92,51,20,4,12,13,16,6,2,6
Revapi Maven Plugin,org.revapi.maven,Props.disallowedExtensionsInVersioning,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.convertPomXml,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.checkDependencies,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,ReportAggregateMojo,121,570,41,39,20,127,38,23,1,20
Revapi Maven Plugin,org.revapi.maven,Props.analysisConfiguration,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,FailSeverity.new Object() {...},4,29,0,0,0,1,0,1,0,1
Revapi Maven Plugin,org.revapi.maven,MavenArchive.War,172,0,26,0,21,0,15,0,2,0
Revapi Maven Plugin,org.revapi.maven,Props.resolveProvidedDependencies,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.failBuildOnProblemsFound,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.versionFormat,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,ConfigurationFile,0,24,0,0,0,10,0,7,0,7
Revapi Maven Plugin,org.revapi.maven,Props.failOnMissingConfigurationFiles,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,HelpMojo,909,0,112,0,159,0,72,0,16,0
Revapi Maven Plugin,org.revapi.maven,Analyzer.MarkerException,9,0,0,0,4,0,2,0,2,0
Revapi Maven Plugin,org.revapi.maven,Props.disallowedExtensions,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.oldArtifacts,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,FailSeverity,16,60,4,1,4,4,5,4,1,4
Revapi Maven Plugin,org.revapi.maven,Props.failSeverity,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Analyzer,444,1014,55,93,65,216,44,58,1,27
Revapi Maven Plugin,org.revapi.maven,Props.oldVersion,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,ReportForkMojo,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,AbstractVersionModifyingMojo.new Object() {...},3,23,0,0,0,1,0,1,0,1
Revapi Maven Plugin,org.revapi.maven,Props.skip,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,UpdateReleasePropertiesMojo,225,0,20,0,33,0,16,0,6,0
Revapi Maven Plugin,org.revapi.maven,Props.convertAnalysisConfigurationFiles,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,SchemaDrivenJSONToXmlConverter.ConversionContext,2,53,2,4,1,13,2,4,0,3
Revapi Maven Plugin,org.revapi.maven,AnalyzerBuilder.Result,0,3,0,0,0,1,0,1,0,1
Revapi Maven Plugin,org.revapi.maven,Props.newVersion,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,ReportTimeReporter.DifferenceReport,0,12,0,0,0,5,0,1,0,1
Revapi Maven Plugin,org.revapi.maven,MavenArchive.Jar,0,5,0,0,0,2,0,1,0,1
Revapi Maven Plugin,org.revapi.maven,ApiChangeLevel,0,48,0,0,0,2,0,4,0,4
Revapi Maven Plugin,org.revapi.maven,Props.alwaysCheckForReleaseVersion,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.reportSeverity,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.newArtifacts,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.failOnUnresolvedDependencies,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.analysisConfigurationFiles,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,ValidateConfigurationMojo,20,71,4,4,5,13,4,3,0,3
Revapi Maven Plugin,org.revapi.maven,AbstractVersionModifyingMojo.AnalysisResults,0,9,0,0,0,4,0,1,0,1
Revapi Maven Plugin,org.revapi.maven,ConvertToXmlConfigMojo,234,492,49,35,14,116,35,19,0,12
Revapi Maven Plugin,org.revapi.maven,Props,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,CheckMojo,55,51,10,6,7,11,7,3,0,2
Revapi Maven Plugin,org.revapi.maven,Props.singleVersionForAllModules,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,AnalyzerBuilder,23,420,13,25,7,99,14,38,1,32
Revapi Maven Plugin,org.revapi.maven,ReportMojo,347,308,49,11,81,86,36,13,9,10
Revapi Maven Plugin,org.revapi.maven,UpdateVersionsMojo,0,9,0,0,0,4,0,1,0,1
Revapi Maven Plugin,org.revapi.maven,Analyzer.new Function() {...},0,9,0,0,0,2,0,2,0,2
Revapi Maven Plugin,org.revapi.maven,XmlUtil,7,259,5,45,2,55,6,26,1,6
Revapi Maven Plugin,org.revapi.maven,SchemaDrivenJSONToXmlConverter,253,361,40,40,44,79,35,22,4,8
Revapi Maven Plugin,org.revapi.maven,ReportAggregateMojo.ProjectVersions,0,3,0,0,0,1,0,1,0,1
Revapi Maven Plugin,org.revapi.maven,ApiBreakageHintingReporter,3,59,1,9,2,17,2,10,1,6
Revapi Maven Plugin,org.revapi.maven,CheckForkMojo,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,Props.failOnUnresolvedArtifacts,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,BuildTimeReporter,353,130,52,16,71,27,37,12,4,8
Revapi Maven Plugin,org.revapi.maven,MavenArchive.War.new FileInputStream() {...},16,0,0,0,4,0,2,0,2,0
Revapi Maven Plugin,org.revapi.maven,Version,72,139,21,11,17,34,23,9,7,9
Revapi Maven Plugin,org.revapi.maven,MavenArchive.Empty.new InputStream() {...},8,0,0,0,2,0,2,0,2,0
Revapi Maven Plugin,org.revapi.maven,Props.generateSiteReport,3,0,0,0,1,0,1,0,1,0
Revapi Maven Plugin,org.revapi.maven,ReportTimeReporter,3,114,2,8,2,24,3,9,1,6
Revapi Maven Plugin,org.revapi.maven,AbstractRevapiMojo,29,216,12,20,6,54,11,10,0,5
